"FECHA_HORA",FECHA,HORA,AIRQ_CO,AIRQ_NO,AIRQ_NO2,DATASET
2010-01-01:00:00,2010-01-01,00,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:01:00,2010-01-01,01,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:02:00,2010-01-01,02,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:03:00,2010-01-01,03,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:04:00,2010-01-01,04,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:05:00,2010-01-01,05,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:06:00,2010-01-01,06,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:07:00,2010-01-01,07,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:08:00,2010-01-01,08,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:09:00,2010-01-01,09,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:10:00,2010-01-01,10,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:11:00,2010-01-01,11,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:12:00,2010-01-01,12,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:13:00,2010-01-01,13,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:14:00,2010-01-01,14,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:15:00,2010-01-01,15,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:16:00,2010-01-01,16,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:17:00,2010-01-01,17,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:18:00,2010-01-01,18,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:19:00,2010-01-01,19,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:20:00,2010-01-01,20,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:21:00,2010-01-01,21,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:22:00,2010-01-01,22,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-01:23:00,2010-01-01,23,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-02:00:00,2010-01-02,00,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-02:01:00,2010-01-02,01,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-02:02:00,2010-01-02,02,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-02:03:00,2010-01-02,03,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-02:04:00,2010-01-02,04,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-02:05:00,2010-01-02,05,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-02:06:00,2010-01-02,06,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-02:07:00,2010-01-02,07,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-02:08:00,2010-01-02,08,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-02:09:00,2010-01-02,09,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-02:10:00,2010-01-02,10,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-02:11:00,2010-01-02,11,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-02:12:00,2010-01-02,12,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-02:13:00,2010-01-02,13,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-02:14:00,2010-01-02,14,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-02:15:00,2010-01-02,15,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-02:16:00,2010-01-02,16,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-02:17:00,2010-01-02,17,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-02:18:00,2010-01-02,18,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-02:19:00,2010-01-02,19,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-02:20:00,2010-01-02,20,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-02:21:00,2010-01-02,21,0.04,---,---,CALID-DE-AIRE-ANO-2010
2010-01-02:22:00,2010-01-02,22,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-02:23:00,2010-01-02,23,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-03:00:00,2010-01-03,00,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-03:01:00,2010-01-03,01,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-03:02:00,2010-01-03,02,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-03:03:00,2010-01-03,03,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-03:04:00,2010-01-03,04,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-03:05:00,2010-01-03,05,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-03:06:00,2010-01-03,06,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-03:07:00,2010-01-03,07,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-03:08:00,2010-01-03,08,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-03:09:00,2010-01-03,09,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-03:10:00,2010-01-03,10,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-03:11:00,2010-01-03,11,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-03:12:00,2010-01-03,12,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-03:13:00,2010-01-03,13,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-03:14:00,2010-01-03,14,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-03:15:00,2010-01-03,15,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-03:16:00,2010-01-03,16,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-03:17:00,2010-01-03,17,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-03:18:00,2010-01-03,18,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-03:19:00,2010-01-03,19,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-03:20:00,2010-01-03,20,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-03:21:00,2010-01-03,21,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-03:22:00,2010-01-03,22,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-03:23:00,2010-01-03,23,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-04:00:00,2010-01-04,00,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-04:01:00,2010-01-04,01,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-04:02:00,2010-01-04,02,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-04:03:00,2010-01-04,03,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-04:04:00,2010-01-04,04,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-04:05:00,2010-01-04,05,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-04:06:00,2010-01-04,06,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-04:07:00,2010-01-04,07,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-04:08:00,2010-01-04,08,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-04:09:00,2010-01-04,09,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-04:10:00,2010-01-04,10,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-04:11:00,2010-01-04,11,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-04:12:00,2010-01-04,12,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-04:13:00,2010-01-04,13,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-04:14:00,2010-01-04,14,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-04:15:00,2010-01-04,15,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-04:16:00,2010-01-04,16,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-04:17:00,2010-01-04,17,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-04:18:00,2010-01-04,18,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-04:19:00,2010-01-04,19,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-04:20:00,2010-01-04,20,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-04:21:00,2010-01-04,21,0.09,---,---,CALID-DE-AIRE-ANO-2010
2010-01-04:22:00,2010-01-04,22,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-04:23:00,2010-01-04,23,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-05:00:00,2010-01-05,00,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-05:01:00,2010-01-05,01,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-05:02:00,2010-01-05,02,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-05:03:00,2010-01-05,03,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-05:04:00,2010-01-05,04,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-05:05:00,2010-01-05,05,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-05:06:00,2010-01-05,06,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-05:07:00,2010-01-05,07,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-05:08:00,2010-01-05,08,0.04,---,---,CALID-DE-AIRE-ANO-2010
2010-01-05:09:00,2010-01-05,09,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-05:10:00,2010-01-05,10,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-05:11:00,2010-01-05,11,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-05:12:00,2010-01-05,12,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-05:13:00,2010-01-05,13,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-05:14:00,2010-01-05,14,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-05:15:00,2010-01-05,15,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-05:16:00,2010-01-05,16,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-05:17:00,2010-01-05,17,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-05:18:00,2010-01-05,18,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-05:19:00,2010-01-05,19,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-05:20:00,2010-01-05,20,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-05:21:00,2010-01-05,21,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-05:22:00,2010-01-05,22,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-05:23:00,2010-01-05,23,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-06:00:00,2010-01-06,00,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-06:01:00,2010-01-06,01,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-06:02:00,2010-01-06,02,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-06:03:00,2010-01-06,03,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-06:04:00,2010-01-06,04,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-06:05:00,2010-01-06,05,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-06:06:00,2010-01-06,06,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-06:07:00,2010-01-06,07,0.06,---,---,CALID-DE-AIRE-ANO-2010
2010-01-06:08:00,2010-01-06,08,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-06:09:00,2010-01-06,09,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-06:10:00,2010-01-06,10,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-06:11:00,2010-01-06,11,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-06:12:00,2010-01-06,12,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-06:13:00,2010-01-06,13,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-06:14:00,2010-01-06,14,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-06:15:00,2010-01-06,15,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-06:16:00,2010-01-06,16,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-06:17:00,2010-01-06,17,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-06:18:00,2010-01-06,18,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-06:19:00,2010-01-06,19,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-06:20:00,2010-01-06,20,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-06:21:00,2010-01-06,21,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-06:22:00,2010-01-06,22,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-06:23:00,2010-01-06,23,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-07:00:00,2010-01-07,00,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-07:01:00,2010-01-07,01,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-07:02:00,2010-01-07,02,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-07:03:00,2010-01-07,03,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-07:04:00,2010-01-07,04,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-07:05:00,2010-01-07,05,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-07:06:00,2010-01-07,06,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-07:07:00,2010-01-07,07,0.04,---,---,CALID-DE-AIRE-ANO-2010
2010-01-07:08:00,2010-01-07,08,0.07,---,---,CALID-DE-AIRE-ANO-2010
2010-01-07:09:00,2010-01-07,09,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-07:10:00,2010-01-07,10,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-07:11:00,2010-01-07,11,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-07:12:00,2010-01-07,12,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-07:13:00,2010-01-07,13,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-07:14:00,2010-01-07,14,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-07:15:00,2010-01-07,15,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-07:16:00,2010-01-07,16,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-07:17:00,2010-01-07,17,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-07:18:00,2010-01-07,18,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-07:19:00,2010-01-07,19,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-07:20:00,2010-01-07,20,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-07:21:00,2010-01-07,21,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-07:22:00,2010-01-07,22,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-07:23:00,2010-01-07,23,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-08:00:00,2010-01-08,00,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-08:01:00,2010-01-08,01,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-08:02:00,2010-01-08,02,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-08:03:00,2010-01-08,03,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-08:04:00,2010-01-08,04,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-08:05:00,2010-01-08,05,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-08:06:00,2010-01-08,06,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-08:07:00,2010-01-08,07,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-08:08:00,2010-01-08,08,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-08:09:00,2010-01-08,09,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-08:10:00,2010-01-08,10,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-08:11:00,2010-01-08,11,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-08:12:00,2010-01-08,12,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-08:13:00,2010-01-08,13,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-08:14:00,2010-01-08,14,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-08:15:00,2010-01-08,15,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-08:16:00,2010-01-08,16,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-08:17:00,2010-01-08,17,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-08:18:00,2010-01-08,18,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-08:19:00,2010-01-08,19,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-08:20:00,2010-01-08,20,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-08:21:00,2010-01-08,21,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-08:22:00,2010-01-08,22,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-08:23:00,2010-01-08,23,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-09:00:00,2010-01-09,00,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-09:01:00,2010-01-09,01,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-09:02:00,2010-01-09,02,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-09:03:00,2010-01-09,03,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-09:04:00,2010-01-09,04,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-09:05:00,2010-01-09,05,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-09:06:00,2010-01-09,06,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-09:07:00,2010-01-09,07,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-09:08:00,2010-01-09,08,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-09:09:00,2010-01-09,09,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-09:10:00,2010-01-09,10,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-09:11:00,2010-01-09,11,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-09:12:00,2010-01-09,12,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-09:13:00,2010-01-09,13,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-09:14:00,2010-01-09,14,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-09:15:00,2010-01-09,15,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-09:16:00,2010-01-09,16,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-09:17:00,2010-01-09,17,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-09:18:00,2010-01-09,18,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-09:19:00,2010-01-09,19,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-09:20:00,2010-01-09,20,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-09:21:00,2010-01-09,21,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-09:22:00,2010-01-09,22,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-09:23:00,2010-01-09,23,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-10:00:00,2010-01-10,00,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-10:01:00,2010-01-10,01,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-10:02:00,2010-01-10,02,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-10:03:00,2010-01-10,03,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-10:04:00,2010-01-10,04,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-10:05:00,2010-01-10,05,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-10:06:00,2010-01-10,06,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-10:07:00,2010-01-10,07,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-10:08:00,2010-01-10,08,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-10:09:00,2010-01-10,09,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-10:10:00,2010-01-10,10,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-10:11:00,2010-01-10,11,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-10:12:00,2010-01-10,12,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-10:13:00,2010-01-10,13,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-10:14:00,2010-01-10,14,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-10:15:00,2010-01-10,15,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-10:16:00,2010-01-10,16,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-10:17:00,2010-01-10,17,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-10:18:00,2010-01-10,18,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-10:19:00,2010-01-10,19,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-10:20:00,2010-01-10,20,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-10:21:00,2010-01-10,21,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-10:22:00,2010-01-10,22,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-10:23:00,2010-01-10,23,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-11:00:00,2010-01-11,00,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-11:01:00,2010-01-11,01,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-11:02:00,2010-01-11,02,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-11:03:00,2010-01-11,03,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-11:04:00,2010-01-11,04,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-11:05:00,2010-01-11,05,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-11:06:00,2010-01-11,06,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-11:07:00,2010-01-11,07,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-11:08:00,2010-01-11,08,---,---,---,CALID-DE-AIRE-ANO-2010
2010-01-11:09:00,2010-01-11,09,<LD,2.5,4.0,CALID-DE-AIRE-ANO-2010
2010-01-11:10:00,2010-01-11,10,<LD,1.8,3.5,CALID-DE-AIRE-ANO-2010
2010-01-11:11:00,2010-01-11,11,<LD,0.9,2.2,CALID-DE-AIRE-ANO-2010
2010-01-11:12:00,2010-01-11,12,<LD,0.6,3.1,CALID-DE-AIRE-ANO-2010
2010-01-11:13:00,2010-01-11,13,<LD,1.0,4.1,CALID-DE-AIRE-ANO-2010
2010-01-11:14:00,2010-01-11,14,<LD,1.3,7.0,CALID-DE-AIRE-ANO-2010
2010-01-11:15:00,2010-01-11,15,<LD,1.6,6.8,CALID-DE-AIRE-ANO-2010
2010-01-11:16:00,2010-01-11,16,<LD,0.5,5.6,CALID-DE-AIRE-ANO-2010
2010-01-11:17:00,2010-01-11,17,0.04,2.8,7.7,CALID-DE-AIRE-ANO-2010
2010-01-11:18:00,2010-01-11,18,0.04,1.6,7.8,CALID-DE-AIRE-ANO-2010
2010-01-11:19:00,2010-01-11,19,<LD,0.7,4.7,CALID-DE-AIRE-ANO-2010
2010-01-11:20:00,2010-01-11,20,<LD,0.6,5.1,CALID-DE-AIRE-ANO-2010
2010-01-11:21:00,2010-01-11,21,<LD,0.6,4.1,CALID-DE-AIRE-ANO-2010
2010-01-11:22:00,2010-01-11,22,<LD,1.2,4.9,CALID-DE-AIRE-ANO-2010
2010-01-11:23:00,2010-01-11,23,<LD,0.4,0.5,CALID-DE-AIRE-ANO-2010
2010-01-12:00:00,2010-01-12,00,<LD,0.6,1.0,CALID-DE-AIRE-ANO-2010
2010-01-12:01:00,2010-01-12,01,<LD,0.4,1.0,CALID-DE-AIRE-ANO-2010
2010-01-12:02:00,2010-01-12,02,<LD,0.4,0.4,CALID-DE-AIRE-ANO-2010
2010-01-12:03:00,2010-01-12,03,<LD,0.4,0.3,CALID-DE-AIRE-ANO-2010
2010-01-12:04:00,2010-01-12,04,<LD,0.4,0.4,CALID-DE-AIRE-ANO-2010
2010-01-12:05:00,2010-01-12,05,<LD,0.4,0.3,CALID-DE-AIRE-ANO-2010
2010-01-12:06:00,2010-01-12,06,<LD,0.4,0.4,CALID-DE-AIRE-ANO-2010
2010-01-12:07:00,2010-01-12,07,<LD,0.5,0.5,CALID-DE-AIRE-ANO-2010
2010-01-12:08:00,2010-01-12,08,<LD,0.6,0.4,CALID-DE-AIRE-ANO-2010
2010-01-12:09:00,2010-01-12,09,<LD,0.5,0.5,CALID-DE-AIRE-ANO-2010
2010-01-12:10:00,2010-01-12,10,<LD,0.5,0.4,CALID-DE-AIRE-ANO-2010
2010-01-12:11:00,2010-01-12,11,<LD,1.2,1.2,CALID-DE-AIRE-ANO-2010
2010-01-12:12:00,2010-01-12,12,<LD,0.5,0.4,CALID-DE-AIRE-ANO-2010
2010-01-12:13:00,2010-01-12,13,<LD,1.3,1.2,CALID-DE-AIRE-ANO-2010
2010-01-12:14:00,2010-01-12,14,<LD,0.4,0.5,CALID-DE-AIRE-ANO-2010
2010-01-12:15:00,2010-01-12,15,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-12:16:00,2010-01-12,16,<LD,---,---,CALID-DE-AIRE-ANO-2010
2010-01-12:17:00,2010-01-12,17,<LD,1.4,1.0,CALID-DE-AIRE-ANO-2010
2010-01-12:18:00,2010-01-12,18,<LD,0.7,0.6,CALID-DE-AIRE-ANO-2010
2010-01-12:19:00,2010-01-12,19,<LD,1.4,1.3,CALID-DE-AIRE-ANO-2010
2010-01-12:20:00,2010-01-12,20,<LD,1.3,4.6,CALID-DE-AIRE-ANO-2010
2010-01-12:21:00,2010-01-12,21,<LD,1.6,10.5,CALID-DE-AIRE-ANO-2010
2010-01-12:22:00,2010-01-12,22,<LD,2.0,6.9,CALID-DE-AIRE-ANO-2010
2010-01-12:23:00,2010-01-12,23,<LD,0.4,1.1,CALID-DE-AIRE-ANO-2010
2010-01-13:00:00,2010-01-13,00,<LD,0.4,1.2,CALID-DE-AIRE-ANO-2010
2010-01-13:01:00,2010-01-13,01,<LD,0.6,2.8,CALID-DE-AIRE-ANO-2010
2010-01-13:02:00,2010-01-13,02,<LD,0.9,5.4,CALID-DE-AIRE-ANO-2010
2010-01-13:03:00,2010-01-13,03,<LD,0.4,4.0,CALID-DE-AIRE-ANO-2010
2010-01-13:04:00,2010-01-13,04,<LD,0.6,4.1,CALID-DE-AIRE-ANO-2010
2010-01-13:05:00,2010-01-13,05,<LD,0.5,3.6,CALID-DE-AIRE-ANO-2010
2010-01-13:06:00,2010-01-13,06,<LD,2.5,6.2,CALID-DE-AIRE-ANO-2010
2010-01-13:07:00,2010-01-13,07,0.06,8.6,8.4,CALID-DE-AIRE-ANO-2010
